epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,6677.22,1.51488,0.94826,1.61697,0.67138,0.59105,0.64183,0.33844,1.57527,0.83913,1.6045,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687,0.0266906,0.00889687
41,6839.3,1.50297,0.94712,1.61386,0.67641,0.59753,0.65551,0.34422,1.58332,0.83046,1.59782,0.0265258,0.00884192,0.0265258,0.00884192,0.0265258,0.00884192,0.0265258,0.00884192
42,7000.52,1.50207,0.93307,1.60408,0.6832,0.59961,0.65678,0.34818,1.5734,0.82632,1.59479,0.0263574,0.00878581,0.0263574,0.00878581,0.0263574,0.00878581,0.0263574,0.00878581
43,7161.8,1.49584,0.92372,1.60249,0.69705,0.59309,0.66008,0.34634,1.58015,0.82513,1.59276,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857,0.0261857,0.00872857
44,7323.64,1.4916,0.92315,1.59002,0.68316,0.60421,0.66868,0.35202,1.57278,0.81405,1.58526,0.0260106,0.0086702,0.0260106,0.0086702,0.0260106,0.0086702,0.0260106,0.0086702
45,7485.69,1.4836,0.9244,1.58972,0.6898,0.60564,0.66787,0.35379,1.57444,0.81719,1.59046,0.0258322,0.00861073,0.0258322,0.00861073,0.0258322,0.00861073,0.0258322,0.00861073
46,7646.81,1.48289,0.91256,1.58276,0.6906,0.59814,0.6652,0.35482,1.57207,0.81186,1.587,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
47,7808.5,1.47692,0.91283,1.57796,0.70154,0.60255,0.67076,0.35812,1.56922,0.80728,1.58416,0.0254657,0.00848856,0.0254657,0.00848856,0.0254657,0.00848856,0.0254657,0.00848856
48,7969.36,1.47406,0.90332,1.57389,0.68723,0.60507,0.66907,0.35524,1.56655,0.80704,1.58196,0.0252777,0.00842589,0.0252777,0.00842589,0.0252777,0.00842589,0.0252777,0.00842589
49,8130.45,1.4663,0.89793,1.57024,0.69394,0.60603,0.67144,0.3582,1.56285,0.80302,1.581,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622,0.0250866,0.0083622
50,8292.77,1.45796,0.88826,1.56256,0.67805,0.62471,0.67824,0.36342,1.56356,0.79264,1.57906,0.0248925,0.00829749,0.0248925,0.00829749,0.0248925,0.00829749,0.0248925,0.00829749
51,8453.99,1.46694,0.88992,1.57206,0.68954,0.62722,0.68141,0.36465,1.56208,0.7916,1.57796,0.0246954,0.0082318,0.0246954,0.0082318,0.0246954,0.0082318,0.0246954,0.0082318
52,8616.11,1.45288,0.87567,1.5632,0.68454,0.627,0.68148,0.36356,1.56415,0.79044,1.57932,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514,0.0244954,0.00816514
53,8778.11,1.44942,0.88062,1.55949,0.69026,0.62525,0.68218,0.36333,1.56385,0.79133,1.58014,0.0242926,0.00809752,0.0242926,0.00809752,0.0242926,0.00809752,0.0242926,0.00809752
54,8941.37,1.44143,0.86567,1.55284,0.68905,0.62018,0.68055,0.36441,1.56046,0.78797,1.57604,0.024087,0.00802898,0.024087,0.00802898,0.024087,0.00802898,0.024087,0.00802898
55,9103.56,1.4416,0.8646,1.54864,0.69733,0.62393,0.68385,0.36794,1.55567,0.78371,1.57449,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
